#Procedure: <pylabsm.pylabsm_procs.lockinProc.LockinMeasurement>
#Parameters:
#	Sample Frequency: 4 Hz.
#	Sample time: 1000 s.
#Data:
Time Stamp,phase,frequency,sensitivity,time constant,Status Byte,Output Voltage (V.)
2021-09-16 06:50:44.173120,32.0,19.01,0.01,1,11101,1.8e-05
2021-09-16 06:50:44.925136,32.0,19.01,0.01,1,1,1.3e-05
2021-09-16 06:50:45.629326,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:50:46.323295,32.0,19.01,0.01,1,1,2.8e-05
2021-09-16 06:50:47.031540,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:50:47.732648,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:50:48.428729,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:50:49.137482,32.0,19.01,0.01,1,1,1.5e-05
2021-09-16 06:50:49.835302,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:50:50.537609,32.0,19.01,0.01,1,1,8e-06
2021-09-16 06:50:51.241885,32.0,19.01,0.01,1,1,2.8e-05
2021-09-16 06:50:51.936378,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:50:52.640806,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:50:53.351439,32.0,19.01,0.01,1,1,1.3e-05
2021-09-16 06:50:54.049409,32.0,19.01,0.01,1,1,1.3e-05
2021-09-16 06:50:54.748762,32.0,19.01,0.01,1,1,2.8e-05
2021-09-16 06:50:55.441072,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:50:56.142314,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:50:56.835589,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:50:57.535817,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:50:58.236339,32.0,19.01,0.01,1,1,1.3e-05
2021-09-16 06:50:58.937649,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:50:59.632829,32.0,19.01,0.01,1,1,8e-06
2021-09-16 06:51:00.331419,32.0,19.01,0.01,1,1,8e-06
2021-09-16 06:51:01.027921,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:51:01.724923,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:51:02.420537,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:51:03.112885,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:03.806574,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:51:04.502779,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:05.194025,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:05.892799,32.0,19.01,0.01,1,1,1.3e-05
2021-09-16 06:51:06.589151,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:51:07.295506,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:08.001910,32.0,19.01,0.01,1,1,1.5e-05
2021-09-16 06:51:08.700095,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:51:09.396784,32.0,19.01,0.01,1,1,1.3e-05
2021-09-16 06:51:10.105774,32.0,19.01,0.01,1,1,8e-06
2021-09-16 06:51:10.803639,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:51:11.500863,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:51:12.197917,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:51:12.891502,32.0,19.01,0.01,1,1,3e-05
2021-09-16 06:51:13.583874,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:51:14.276805,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:14.975757,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:15.671268,32.0,19.01,0.01,1,1,2.5e-05
2021-09-16 06:51:16.371675,32.0,19.01,0.01,1,1,2e-05
2021-09-16 06:51:17.070928,32.0,19.01,0.01,1,1,1.8e-05
2021-09-16 06:51:17.769160,32.0,19.01,0.01,1,1,1.8e-05
